;0;1;2;3;4;5;6;7;8;9;10;11
01/01/1980;;;;;;;;;;;;
02/01/1980;;;;;;;;;;;;
03/01/1980;;;;;;;;;;;;
04/01/1980;;;;;;;;;;;;
05/01/1980;;;;;;;;;;;;
06/01/1980;;;;;;;;;;;;
07/01/1980;;;;;;;;;;;;
08/01/1980;;;;;;;;;;;;
09/01/1980;;;;;;;;;;;;
10/01/1980;;;;;;;;;;;;
11/01/1980;;;;;;;;;;;;
12/01/1980;;;;;;;;;0.31656682;;;
13/01/1980;;;;;;;;;;;;
14/01/1980;;;;;;;;;;;;
15/01/1980;;;;;;;;;;;;
16/01/1980;;;;;;;;;;;;
17/01/1980;;;;;;;;;;;;
18/01/1980;;;;;;;;;;;;
19/01/1980;;;;;;;;;;;;
20/01/1980;;;;;;;;;;;;
21/01/1980;;;;;;;;;;;;
22/01/1980;;;;;;;;;0.2227537;;;
23/01/1980;;;;;;;;;;;;
24/01/1980;;;;;;;;;;;;
25/01/1980;;;;;;;;;;;;
26/01/1980;;;;;;;;;;;;
27/01/1980;;;;;;;;;;;;
28/01/1980;;;;;;;;;;;;
29/01/1980;;;;;;;;;;;;
30/01/1980;;;;;;;;;;;;
31/01/1980;;;;;;;;;;;;
01/02/1980;;;;;;;;;0.25037092;;;
02/02/1980;;;;;;;;;;;;
03/02/1980;;;;;;;;;;;;
04/02/1980;;;;;;;;;;;;
05/02/1980;;;;;;;;;;;;
06/02/1980;;;;;;;;;;;;
07/02/1980;;;;;;;;;;;;
08/02/1980;;;;;;;;;;;;
09/02/1980;;;;;;;;;;;;
10/02/1980;;;;;;;;;;;;
11/02/1980;;;;;;;;;;;;
12/02/1980;;;;;;;;;;;;
13/02/1980;;;;;;;;;;;;
14/02/1980;;;;;;;;;;;;
15/02/1980;;;;;;;;;;;;
16/02/1980;;;;;;;;;;;;
17/02/1980;;;;;;;;;;;;
18/02/1980;;;;;;;;;;;;
19/02/1980;;;;;;;;;;;;
20/02/1980;;;;;;;;;;;;
21/02/1980;;;;;;;;;;;;
22/02/1980;;;;;;;;;;;0.23709357;
23/02/1980;;;;;;;;;;;0.25156087;
24/02/1980;;;;;;;;;;;;
25/02/1980;0.38925102;;0.37418;;0.34508;;0.23763049;;0.23913774;;0.27010697;
26/02/1980;;;;;;;;;;;;
27/02/1980;;;;;;;;;;;;
28/02/1980;;;;;;;;;;;;
29/02/1980;;;;;;;;;;;;
01/03/1980;;;;;;;;;;;;
02/03/1980;;;;;;;;;;;;
03/03/1980;;;;;;;;;;;;
04/03/1980;;;;;;;;;;;;
05/03/1980;;;;;;;;;;;;
06/03/1980;;;0.30709675;;;;;;;;0.23136282;
07/03/1980;;;;;;;;;;;;
08/03/1980;;;;;;;;;;;;
09/03/1980;;;;;;;;;;;;
10/03/1980;;;;;;;;;;;;
11/03/1980;;;;;;;;;;;;
12/03/1980;;;;;;;;;;;;
13/03/1980;;;;;;;;;;;;
14/03/1980;;;;;;;;;;;;
15/03/1980;;;;;;;;;;;;
16/03/1980;;;;;;;;;;;;
17/03/1980;;;;;;;;;;;;
18/03/1980;;;;;;;;;;;;
19/03/1980;;;;;;;;;;;;
20/03/1980;;;;;;;;;;;;
21/03/1980;;;;;;;;;;;;
22/03/1980;;;;;;;;;;;;
23/03/1980;;;;;;;;;;;;
24/03/1980;;;;;;;;;;;;
25/03/1980;0.44309565;;0.29068828;;0.34508;;;;0.3119914;;0.32738;
26/03/1980;;;;;;;;;;;;
27/03/1980;;;;;;;;;;;;
28/03/1980;0.42387113;;0.28996503;;0.24304678;;0.21478719;;0.3119914;;0.32738;
29/03/1980;;;;;;;;;;;;
30/03/1980;;;;;;;;;;;;
31/03/1980;;;;;;;0.22235283;;0.23492123;;0.3044326;
01/04/1980;;;;;;;;;;;;
02/04/1980;;;;;;;;;;;;
03/04/1980;;;0.28531533;;;;0.20856792;;;;;
04/04/1980;;;;;;;;;;;;
05/04/1980;;;;;;;;;;;;
06/04/1980;;;;;;;;;;;;
07/04/1980;0.35544315;;0.260884;;0.21480098;;0.19388849;;0.21402591;;0.2175938;
08/04/1980;;;;;;;;;;;;
