Date;P
2001010101;0
2001010102;0
2001010103;0
2001010104;0
2001010105;0.3
2001010106;0.6
2001010107;0.2
2001010108;0
2001010109;1.1
2001010110;0.8
2001010111;1.2
2001010112;0.6
2001010113;0
2001010114;0
2001010115;0.2
2001010116;0.9
2001010117;1.1
2001010118;0.2
2001010119;0
2001010120;0
2001010121;0
2001010122;0
2001010123;0
2001010124;0
2001010201;0
2001010202;0
2001010203;0
2001010204;0
2001010205;0
2001010206;0
2001010207;0
2001010208;0.3
2001010209;0.2
2001010210;0
2001010211;0
2001010212;0
2001010213;0
2001010214;0
2001010215;0
2001010216;0
2001010217;0
2001010218;0
2001010219;0
2001010220;0
2001010221;0
2001010222;0
2001010223;0
2001010224;0
2001010301;0
2001010302;0
2001010303;0
2001010304;0
2001010305;1.1
2001010306;1
2001010307;0.2
2001010308;0
2001010309;0
2001010310;0.3
2001010311;0
2001010312;0
2001010313;0
2001010314;0
2001010315;0
2001010316;0
2001010317;0
2001010318;0
2001010319;0
2001010320;0
2001010321;0
2001010322;0
2001010323;0
2001010324;0
2001010401;0.2
2001010402;0.1
2001010403;0
2001010404;0
2001010405;0
2001010406;0.2
2001010407;0.8
2001010408;0.5
2001010409;0.3
2001010410;0.1
2001010411;0
2001010412;0
2001010413;0
2001010414;0
2001010415;0
2001010416;0.3
2001010417;0.1
2001010418;0
2001010419;0
2001010420;0
2001010421;0
2001010422;0
2001010423;0
2001010424;0
2001010501;0
2001010502;0
2001010503;0
2001010504;0
2001010505;0
2001010506;0.5
2001010507;0.5
2001010508;0.4
2001010509;1
2001010510;2.2
2001010511;4.6
2001010512;2.5
2001010513;1.9
2001010514;0.6
2001010515;0
2001010516;0
2001010517;0
2001010518;0
2001010519;0
2001010520;0
2001010521;0
2001010522;0
2001010523;0
2001010524;1.1
2001010601;0.4
2001010602;0.2
2001010603;0.4
2001010604;0.1
2001010605;0.3
2001010606;0.5
2001010607;0.1
2001010608;0
2001010609;0
2001010610;0
2001010611;0
2001010612;0
2001010613;0
2001010614;0
2001010615;0
2001010616;0
2001010617;0
2001010618;0
2001010619;0
2001010620;0
2001010621;0
2001010622;0
2001010623;0
2001010624;0
2001010701;0
2001010702;0
2001010703;0
2001010704;0
2001010705;0
2001010706;0
2001010707;0.1
2001010708;0
2001010709;0
2001010710;0
2001010711;0
2001010712;0
2001010713;0
2001010714;0
2001010715;0.1
2001010716;0
2001010717;0
2001010718;0
2001010719;0
2001010720;0
2001010721;0
2001010722;0
2001010723;0
2001010724;0
2001010801;0
2001010802;0
2001010803;0
2001010804;0
2001010805;0
2001010806;0
2001010807;0
2001010808;0
2001010809;0
2001010810;0
2001010811;0
2001010812;0
2001010813;0
2001010814;0
2001010815;0
2001010816;0
2001010817;0
2001010818;0
2001010819;0
2001010820;0
2001010821;0
2001010822;0
2001010823;0
2001010824;0.1
2001010901;0.4
2001010902;0
2001010903;0
2001010904;0
2001010905;0
2001010906;0
2001010907;0
2001010908;0
2001010909;0
2001010910;0
2001010911;0
2001010912;0
2001010913;0
2001010914;0
2001010915;0
2001010916;0
2001010917;0
2001010918;0
2001010919;0
2001010920;0
2001010921;0
2001010922;0
2001010923;0
2001010924;0
2001011001;0
2001011002;0
2001011003;0
2001011004;0
2001011005;0
2001011006;0
2001011007;0
2001011008;0
2001011009;0
2001011010;0
2001011011;0
2001011012;0
2001011013;0
2001011014;0
2001011015;0
2001011016;0
2001011017;0
2001011018;0
2001011019;0
2001011020;0
2001011021;0
2001011022;0
2001011023;0
2001011024;0
2001011101;0
2001011102;0
2001011103;0
2001011104;0
2001011105;0
2001011106;0
2001011107;0
2001011108;0
2001011109;0
2001011110;0
2001011111;0
2001011112;0
2001011113;0
2001011114;0
2001011115;0
2001011116;0
2001011117;0
2001011118;0
2001011119;0
2001011120;0
2001011121;0
2001011122;0
2001011123;0
2001011124;0
2001011201;0
2001011202;0
2001011203;0
2001011204;0
