Date;Discharge;h
11/10/2011 15:00;NA;6.792
11/10/2011 16:00;NA;6.791
11/10/2011 17:00;NA;6.790
11/10/2011 18:00;NA;6.791
11/10/2011 19:00;NA;6.791
11/10/2011 20:00;NA;6.791
11/10/2011 21:00;NA;6.791
11/10/2011 22:00;NA;6.791
11/10/2011 23:00;NA;6.791
12/10/2011 00:00;NA;6.791
12/10/2011 01:00;NA;6.792
12/10/2011 02:00;NA;6.794
12/10/2011 03:00;NA;6.797
12/10/2011 04:00;NA;6.802
12/10/2011 05:00;NA;6.806
12/10/2011 06:00;NA;6.809
12/10/2011 07:00;NA;6.815
12/10/2011 08:00;NA;6.825
12/10/2011 09:00;NA;6.845
12/10/2011 10:00;NA;6.860
12/10/2011 11:00;NA;6.868
12/10/2011 12:00;NA;6.875
12/10/2011 13:00;NA;6.881
12/10/2011 14:00;NA;6.890
12/10/2011 15:00;NA;6.908
12/10/2011 16:00;NA;6.932
12/10/2011 17:00;NA;6.944
12/10/2011 18:00;NA;6.952
12/10/2011 19:00;NA;6.966
12/10/2011 20:00;NA;6.979
12/10/2011 21:00;NA;6.988
12/10/2011 22:00;NA;6.992
12/10/2011 23:00;NA;6.991
13/10/2011 00:00;NA;6.990
13/10/2011 01:00;NA;6.988
13/10/2011 02:00;NA;6.988
13/10/2011 03:00;NA;6.987
13/10/2011 04:00;NA;6.987
13/10/2011 05:00;NA;6.988
13/10/2011 06:00;NA;6.990
13/10/2011 07:00;NA;6.990
13/10/2011 08:00;NA;6.988
13/10/2011 09:00;NA;6.986
13/10/2011 10:00;NA;6.984
13/10/2011 11:00;NA;6.982
13/10/2011 12:00;NA;6.975
13/10/2011 13:00;NA;6.957
13/10/2011 14:00;NA;6.945
13/10/2011 15:00;NA;6.937
13/10/2011 16:00;NA;6.935
13/10/2011 17:00;NA;6.934
13/10/2011 18:00;NA;6.936
13/10/2011 19:00;NA;6.937
13/10/2011 20:00;NA;6.937
13/10/2011 21:00;NA;6.935
13/10/2011 22:00;NA;6.932
13/10/2011 23:00;NA;6.927
14/10/2011 00:00;NA;6.922
14/10/2011 01:00;NA;6.919
14/10/2011 02:00;NA;6.916
14/10/2011 03:00;NA;6.914
14/10/2011 04:00;NA;6.913
14/10/2011 05:00;NA;6.911
14/10/2011 06:00;NA;6.911
14/10/2011 07:00;NA;6.910
14/10/2011 08:00;NA;6.908
14/10/2011 09:00;NA;6.907
14/10/2011 10:00;NA;6.906
14/10/2011 11:00;NA;6.905
14/10/2011 12:00;NA;6.904
14/10/2011 13:00;NA;6.902
14/10/2011 14:00;NA;6.900
14/10/2011 15:00;NA;6.896
14/10/2011 16:00;NA;6.892
14/10/2011 17:00;NA;6.891
14/10/2011 18:00;NA;6.890
14/10/2011 19:00;NA;6.883
14/10/2011 20:00;NA;6.877
14/10/2011 21:00;NA;6.878
14/10/2011 22:00;NA;6.880
14/10/2011 23:00;NA;6.881
15/10/2011 00:00;NA;6.881
15/10/2011 01:00;NA;6.881
15/10/2011 02:00;NA;6.882
15/10/2011 03:00;NA;6.883
15/10/2011 04:00;NA;6.884
15/10/2011 05:00;NA;6.884
15/10/2011 06:00;NA;6.884
15/10/2011 07:00;NA;6.884
15/10/2011 08:00;NA;6.882
15/10/2011 09:00;NA;6.881
15/10/2011 10:00;NA;6.882
15/10/2011 11:00;NA;6.884
15/10/2011 12:00;NA;6.886
15/10/2011 13:00;NA;6.885
15/10/2011 14:00;NA;6.884
15/10/2011 15:00;NA;6.882
15/10/2011 16:00;NA;6.880
15/10/2011 17:00;NA;6.875
15/10/2011 18:00;NA;6.871
15/10/2011 19:00;NA;6.869
15/10/2011 20:00;NA;6.866
15/10/2011 21:00;NA;6.864
15/10/2011 22:00;NA;6.864
15/10/2011 23:00;NA;6.863
16/10/2011 00:00;NA;6.864
16/10/2011 01:00;NA;6.864
16/10/2011 02:00;NA;6.864
16/10/2011 03:00;NA;6.864
16/10/2011 04:00;NA;6.864
16/10/2011 05:00;NA;6.864
16/10/2011 06:00;NA;6.863
16/10/2011 07:00;NA;6.863
16/10/2011 08:00;NA;6.861
16/10/2011 09:00;NA;6.860
16/10/2011 10:00;NA;6.858
16/10/2011 11:00;NA;6.855
16/10/2011 12:00;NA;6.855
16/10/2011 13:00;NA;6.857
16/10/2011 14:00;NA;6.855
16/10/2011 15:00;NA;6.843
16/10/2011 16:00;NA;6.833
16/10/2011 17:00;NA;6.831
16/10/2011 18:00;NA;6.835
16/10/2011 19:00;NA;6.838
16/10/2011 20:00;NA;6.841
16/10/2011 21:00;NA;6.843
16/10/2011 22:00;NA;6.843
16/10/2011 23:00;NA;6.844
17/10/2011 00:00;NA;6.844
17/10/2011 01:00;NA;6.844
17/10/2011 02:00;NA;6.844
17/10/2011 03:00;NA;6.844
17/10/2011 04:00;NA;6.843
17/10/2011 05:00;NA;6.843
17/10/2011 06:00;NA;6.842
17/10/2011 07:00;NA;6.840
17/10/2011 08:00;NA;6.837
17/10/2011 09:00;NA;6.834
17/10/2011 10:00;NA;6.834
17/10/2011 11:00;NA;6.834
17/10/2011 12:00;NA;6.835
17/10/2011 13:00;NA;6.833
17/10/2011 14:00;NA;6.819
17/10/2011 15:00;NA;6.795
17/10/2011 16:00;NA;6.774
17/10/2011 17:00;NA;6.765
17/10/2011 18:00;NA;6.771
17/10/2011 19:00;NA;6.786
17/10/2011 20:00;NA;6.800
17/10/2011 21:00;NA;6.807
17/10/2011 22:00;NA;6.812
17/10/2011 23:00;NA;6.816
18/10/2011 00:00;NA;6.817
18/10/2011 01:00;NA;6.817
18/10/2011 02:00;NA;6.816
18/10/2011 03:00;NA;6.816
18/10/2011 04:00;NA;6.815
18/10/2011 05:00;NA;6.814
18/10/2011 06:00;NA;6.814
18/10/2011 07:00;NA;6.814
18/10/2011 08:00;NA;6.815
18/10/2011 09:00;NA;6.818
18/10/2011 10:00;NA;6.820
18/10/2011 11:00;NA;6.820
18/10/2011 12:00;NA;6.821
18/10/2011 13:00;NA;6.822
18/10/2011 14:00;NA;6.823
18/10/2011 15:00;NA;6.823
18/10/2011 16:00;NA;6.825
18/10/2011 17:00;NA;6.826
18/10/2011 18:00;NA;6.827
18/10/2011 19:00;NA;6.828
18/10/2011 20:00;NA;6.829
18/10/2011 21:00;NA;6.830
18/10/2011 22:00;NA;6.833
18/10/2011 23:00;NA;6.837
19/10/2011 00:00;NA;6.850
19/10/2011 01:00;NA;6.863
19/10/2011 02:00;NA;6.868
19/10/2011 03:00;NA;6.867
19/10/2011 04:00;NA;6.865
19/10/2011 05:00;NA;6.863
19/10/2011 06:00;NA;6.861
19/10/2011 07:00;NA;6.860
19/10/2011 08:00;NA;6.858
19/10/2011 09:00;NA;6.857
19/10/2011 10:00;NA;6.857
19/10/2011 11:00;NA;6.855
19/10/2011 12:00;NA;6.855
19/10/2011 13:00;NA;6.856
19/10/2011 14:00;NA;6.856
19/10/2011 15:00;NA;6.856
19/10/2011 16:00;NA;6.855
19/10/2011 17:00;NA;6.854
19/10/2011 18:00;NA;6.854
19/10/2011 19:00;NA;6.854
19/10/2011 20:00;NA;6.853
19/10/2011 21:00;NA;6.853
19/10/2011 22:00;NA;6.854
19/10/2011 23:00;NA;6.854
20/10/2011 00:00;NA;6.855
20/10/2011 01:00;NA;6.855
20/10/2011 02:00;NA;6.856
20/10/2011 03:00;NA;6.856
20/10/2011 04:00;NA;6.857
20/10/2011 05:00;NA;6.858
20/10/2011 06:00;NA;6.858
20/10/2011 07:00;NA;6.858
20/10/2011 08:00;NA;6.857
20/10/2011 09:00;NA;6.858
20/10/2011 10:00;NA;6.859
20/10/2011 11:00;NA;6.859
20/10/2011 12:00;NA;6.858
20/10/2011 13:00;NA;6.858
20/10/2011 14:00;NA;6.858
20/10/2011 15:00;NA;6.859
20/10/2011 16:00;NA;6.863
20/10/2011 17:00;NA;6.864
20/10/2011 18:00;NA;6.865
20/10/2011 19:00;NA;6.864
20/10/2011 20:00;NA;6.862
20/10/2011 21:00;NA;6.859
20/10/2011 22:00;NA;6.856
20/10/2011 23:00;NA;6.855
21/10/2011 00:00;NA;6.853
21/10/2011 01:00;NA;6.853
21/10/2011 02:00;NA;6.852
21/10/2011 03:00;NA;6.851
21/10/2011 04:00;NA;6.851
21/10/2011 05:00;NA;6.851
21/10/2011 06:00;NA;6.851
21/10/2011 07:00;NA;6.850
21/10/2011 08:00;NA;6.849
21/10/2011 09:00;NA;6.849
21/10/2011 10:00;NA;6.849
21/10/2011 11:00;NA;6.847
21/10/2011 12:00;NA;6.848
21/10/2011 13:00;NA;6.847
21/10/2011 14:00;NA;6.847
21/10/2011 15:00;NA;6.847
21/10/2011 16:00;NA;6.847
21/10/2011 17:00;NA;6.846
21/10/2011 18:00;NA;6.846
21/10/2011 19:00;NA;6.846
21/10/2011 20:00;NA;6.845
21/10/2011 21:00;NA;6.844
21/10/2011 22:00;NA;6.844
21/10/2011 23:00;NA;6.843
22/10/2011 00:00;NA;6.843
22/10/2011 01:00;NA;6.842
22/10/2011 02:00;NA;6.842
22/10/2011 03:00;NA;6.844
22/10/2011 04:00;NA;6.846
22/10/2011 05:00;NA;6.846
22/10/2011 06:00;NA;6.846
22/10/2011 07:00;NA;6.846
22/10/2011 08:00;NA;6.845
22/10/2011 09:00;NA;6.845
22/10/2011 10:00;NA;6.847
22/10/2011 11:00;NA;6.850
22/10/2011 12:00;NA;6.853
22/10/2011 13:00;NA;6.852
22/10/2011 14:00;NA;6.851
22/10/2011 15:00;NA;6.849
22/10/2011 16:00;NA;6.846
22/10/2011 17:00;NA;6.839
22/10/2011 18:00;NA;6.835
22/10/2011 19:00;NA;6.834
22/10/2011 20:00;NA;6.834
22/10/2011 21:00;NA;6.836
22/10/2011 22:00;NA;6.837
22/10/2011 23:00;NA;6.837
23/10/2011 00:00;NA;6.835
23/10/2011 01:00;NA;6.834
23/10/2011 02:00;NA;6.834
23/10/2011 03:00;NA;6.835
23/10/2011 04:00;NA;6.835
23/10/2011 05:00;NA;6.836
23/10/2011 06:00;NA;6.836
23/10/2011 07:00;NA;6.835
23/10/2011 08:00;NA;6.833
23/10/2011 09:00;NA;6.833
23/10/2011 10:00;NA;6.833
23/10/2011 11:00;NA;6.832
23/10/2011 12:00;NA;6.832
23/10/2011 13:00;NA;6.830
23/10/2011 14:00;NA;6.828
23/10/2011 15:00;NA;6.826
23/10/2011 16:00;NA;6.823
23/10/2011 17:00;NA;6.820
23/10/2011 18:00;NA;6.816
23/10/2011 19:00;NA;6.815
